step,phase,action,reward,red_distance,green_distance,alignment,collision,done_reason
110,1,1,0.0,-1.0,-1.0,0.0,,
111,1,1,0.0,-1.0,-1.0,0.0,,
112,1,2,-0.1,-1.0,-1.0,0.0,,
113,1,1,-5.1,-1.0,-1.0,0.0,,
114,1,1,-0.1,-1.0,-1.0,0.0,,
115,1,1,0.0,-1.0,-1.0,0.0,,
116,1,1,0.0,-1.0,0.42551616,0.0,,
117,1,1,0.0,-1.0,-1.0,0.0,,
118,1,1,0.0,-1.0,-1.0,0.0,,
119,1,1,0.0,-1.0,-1.0,0.0,,
120,1,1,0.0,-1.0,-1.0,0.0,,
121,1,1,0.0,-1.0,-1.0,0.0,,
122,1,2,-0.1,-1.0,-1.0,0.0,,
123,1,2,-0.1,-1.0,-1.0,0.0,,
124,1,0,-0.6,-1.0,0.35655293,0.0,,
125,1,2,-0.1,-1.0,0.37464917,0.0,,
126,1,1,-0.1,-1.0,0.35892338,0.0,,
127,1,1,-0.1,-1.0,0.3524103,0.0,,
128,1,1,0.0,-1.0,0.35404518,0.0,,
129,1,0,-0.6,-1.0,0.37672403,0.0,,
130,1,2,-0.1,-1.0,0.3507549,0.0,,
131,1,2,-0.1,-1.0,0.3594774,0.0,,
132,1,2,0.0,-1.0,0.3756621,0.0,,
133,1,0,-0.6,-1.0,0.4089254,0.0,,
134,1,2,-0.1,-1.0,0.40715843,0.0,,
135,1,2,-0.1,-1.0,-1.0,0.0,,
136,1,2,0.0,-1.0,-1.0,0.0,,
137,1,2,0.0,-1.0,-1.0,0.0,,
138,1,2,0.0,-1.0,-1.0,0.0,,
139,1,2,0.0,-1.0,-1.0,0.0,,
140,1,2,0.0,-1.0,-1.0,0.0,,
141,1,2,0.0,-1.0,-1.0,0.0,,
142,1,0,-0.6,-1.0,-1.0,0.0,,
143,1,2,-0.1,-1.0,-1.0,0.0,,
144,1,2,-0.1,-1.0,-1.0,0.0,,
145,1,0,-0.6,-1.0,-1.0,0.0,,
146,1,1,-0.1,-1.0,-1.0,0.0,,
147,1,2,-0.1,-1.0,-1.0,0.0,,
148,1,2,-0.1,-1.0,-1.0,0.0,,
149,1,2,0.0,-1.0,-1.0,0.0,,
150,1,2,0.0,-1.0,-1.0,0.0,,
151,1,2,0.0,-1.0,-1.0,0.0,,
152,1,2,0.0,-1.0,-1.0,0.0,,
153,1,2,0.0,-1.0,-1.0,0.0,,
154,1,2,0.0,-1.0,-1.0,0.0,,
155,1,2,0.0,-1.0,-1.0,0.0,,
156,1,2,0.0,-1.0,-1.0,0.0,,
157,1,0,-0.6,-1.0,-1.0,0.0,,
158,1,2,-0.1,-1.0,-1.0,0.0,,
159,1,2,-0.1,-1.0,-1.0,0.0,,
160,1,2,0.0,-1.0,-1.0,0.0,,
161,1,2,0.0,-1.0,-1.0,0.0,,
162,1,2,0.0,-1.0,-1.0,0.0,,
163,1,2,0.0,-1.0,-1.0,0.0,,
164,1,2,0.0,-1.0,-1.0,0.0,,
165,1,2,0.0,-1.0,-1.0,0.0,,
166,1,2,0.0,-1.0,-1.0,0.0,,
167,1,2,0.0,-1.0,-1.0,0.0,,
168,1,2,0.0,-1.0,-1.0,0.0,,
169,1,1,-0.1,-1.0,-1.0,0.0,,
170,1,2,-5.1,-1.0,-1.0,0.0,,
171,1,2,-0.1,-1.0,-1.0,0.0,,
172,1,2,0.0,-1.0,-1.0,0.0,,
173,1,2,0.0,-1.0,-1.0,0.0,,
174,1,1,-0.1,-1.0,-1.0,0.0,,
175,1,2,-5.1,-1.0,-1.0,0.0,,
176,1,2,-0.1,-1.0,-1.0,0.0,,
177,1,0,-0.6,-1.0,-1.0,0.0,,
178,1,2,-0.1,-1.0,-1.0,0.0,,
179,1,2,-0.1,-1.0,-1.0,0.0,,
180,1,2,0.036718749999999994,0.41901073,-1.0,0.02734375,,
181,1,1,-0.1,-1.0,-1.0,0.0,,
182,1,2,0.036718749999999994,0.41981542,-1.0,0.02734375,,
183,1,0,-0.6,-1.0,-1.0,0.0,,
184,1,2,0.93515625,0.3925621,-1.0,0.20703125,,
185,1,0,3.5489737033843993,0.3991115,-1.0,0.12890625,,
186,1,0,3.039309138059616,0.43073192,-1.0,0.05859375,,
187,1,0,3.0652571260929107,0.40601107,-1.0,0.0390625,,
188,1,0,-0.6,-1.0,-1.0,0.0,,
189,1,2,0.70078125,0.3863496,-1.0,0.16015625,,
190,1,0,3.1641418278217315,0.41748413,-1.0,0.0703125,,
191,1,0,2.8886162281036376,0.421808,-1.0,0.01953125,,
192,1,0,-0.6,-1.0,-1.0,0.0,,
193,1,2,0.34921875,0.37985393,-1.0,0.08984375,,
194,1,0,2.933693581819534,0.40888628,-1.0,0.015625,,
195,1,0,-0.6,-1.0,-1.0,0.0,,
196,1,1,-0.1,-1.0,-1.0,0.0,,
197,1,1,-0.1,-1.0,-1.0,0.0,,
198,1,0,-0.6,-1.0,-1.0,0.0,,
199,1,1,-0.1,-1.0,-1.0,0.0,,
200,1,1,-0.1,-1.0,-1.0,0.0,,max_steps
0,1,0,-0.6,-1.0,-1.0,0.0,,
1,1,1,-0.1,-1.0,-1.0,0.0,,
2,1,0,-0.6,-1.0,-1.0,0.0,,
3,1,2,-0.1,-1.0,-1.0,0.0,,
4,1,1,-0.1,-1.0,-1.0,0.0,,
5,1,1,-0.1,-1.0,-1.0,0.0,,
6,1,1,0.0,-1.0,-1.0,0.0,,
7,1,0,-0.6,-1.0,-1.0,0.0,,
8,1,1,-0.1,-1.0,-1.0,0.0,,
9,1,1,-0.1,-1.0,-1.0,0.0,,
10,1,1,0.0,-1.0,-1.0,0.0,,
11,1,1,0.0,-1.0,-1.0,0.0,,
12,1,0,-0.6,-1.0,-1.0,0.0,,
13,1,1,-0.1,-1.0,-1.0,0.0,,
14,1,1,-0.1,-1.0,-1.0,0.0,,
15,1,2,-0.1,-1.0,-1.0,0.0,,
16,1,1,-5.1,-1.0,-1.0,0.0,,
17,1,1,-0.1,-1.0,-1.0,0.0,,
18,1,1,0.0,-1.0,-1.0,0.0,,
19,1,2,-0.1,-1.0,-1.0,0.0,,
20,1,1,-5.1,-1.0,-1.0,0.0,,
21,1,1,-0.1,-1.0,-1.0,0.0,,
22,1,1,0.0,-1.0,-1.0,0.0,,
23,1,1,0.0,-1.0,-1.0,0.0,,
24,1,1,0.0,-1.0,-1.0,0.0,,
25,1,1,0.0,-1.0,-1.0,0.0,,
26,1,1,0.0,-1.0,-1.0,0.0,,
27,1,1,0.0,-1.0,-1.0,0.0,,
28,1,1,0.0,-1.0,-1.0,0.0,,
29,1,2,-0.1,-1.0,-1.0,0.0,,
30,1,1,-5.1,-1.0,-1.0,0.0,,
31,1,1,-0.1,-1.0,-1.0,0.0,,
32,1,1,0.0,-1.0,-1.0,0.0,,
33,1,2,-0.1,-1.0,-1.0,0.0,,
34,1,0,-0.6,-1.0,-1.0,0.0,,
35,1,1,-0.1,-1.0,-1.0,0.0,,
36,1,1,-0.1,-1.0,-1.0,0.0,,
37,1,2,-0.1,-1.0,-1.0,0.0,,
38,1,1,-5.1,-1.0,-1.0,0.0,,
39,1,2,-5.1,-1.0,-1.0,0.0,,
40,1,1,-5.1,-1.0,-1.0,0.0,,
41,1,1,-0.1,-1.0,-1.0,0.0,,
42,1,1,0.0,-1.0,-1.0,0.0,,
43,1,1,0.0,-1.0,-1.0,0.0,,
44,1,1,0.0,-1.0,-1.0,0.0,,
45,1,1,0.0,-1.0,-1.0,0.0,,
46,1,1,0.0,-1.0,-1.0,0.0,,
47,1,1,0.0,-1.0,-1.0,0.0,,
48,1,0,-0.6,-1.0,-1.0,0.0,,
49,1,2,-0.1,-1.0,-1.0,0.0,,
50,1,2,-0.1,-1.0,-1.0,0.0,,
51,1,2,0.0,-1.0,-1.0,0.0,,
52,1,2,0.0,-1.0,-1.0,0.0,,
53,1,0,-0.6,-1.0,-1.0,0.0,,
54,1,0,-0.6,-1.0,-1.0,0.0,,
55,1,1,-0.1,-1.0,-1.0,0.0,,
56,1,2,-0.1,-1.0,-1.0,0.0,,
57,1,2,-0.1,-1.0,-1.0,0.0,,
58,1,2,0.0,-1.0,-1.0,0.0,,
59,1,2,0.0,-1.0,-1.0,0.0,,
60,1,2,0.0,-1.0,-1.0,0.0,,
61,1,2,0.0,-1.0,-1.0,0.0,,
62,1,2,0.0,-1.0,-1.0,0.0,,
63,1,0,-0.6,-1.0,-1.0,0.0,,
64,1,2,-0.1,-1.0,-1.0,0.0,,
65,1,2,-0.1,-1.0,-1.0,0.0,,
66,1,2,0.0,-1.0,-1.0,0.0,,
67,1,2,0.0,-1.0,-1.0,0.0,,
68,1,0,-0.6,-1.0,-1.0,0.0,,
69,1,2,-0.1,-1.0,-1.0,0.0,,
70,1,1,-0.1,-1.0,-1.0,0.0,,
71,1,2,-5.1,-1.0,-1.0,0.0,,
72,1,1,-5.1,-1.0,-1.0,0.0,,
73,1,2,-5.1,-1.0,-1.0,0.0,,
74,1,2,-0.1,-1.0,-1.0,0.0,,
75,1,2,0.0,-1.0,-1.0,0.0,,
76,1,2,0.0,-1.0,-1.0,0.0,,
77,1,2,0.0,-1.0,-1.0,0.0,,
78,1,1,-0.1,-1.0,-1.0,0.0,,
79,1,2,-5.1,-1.0,-1.0,0.0,,
80,1,0,-0.6,-1.0,-1.0,0.0,,
81,1,2,-0.1,-1.0,-1.0,0.0,,
82,1,2,-0.1,-1.0,-1.0,0.0,,
83,1,2,0.0,-1.0,-1.0,0.0,,
84,1,2,0.0,-1.0,-1.0,0.0,,
85,1,2,0.0,-1.0,-1.0,0.0,,
86,1,2,0.0,-1.0,-1.0,0.0,,
87,1,0,-0.6,-1.0,-1.0,0.0,,
88,1,2,-0.1,-1.0,-1.0,0.0,,
89,1,2,-0.1,-1.0,-1.0,0.0,,
90,1,0,-0.6,-1.0,-1.0,0.0,,
91,1,2,-0.1,-1.0,-1.0,0.0,,
92,1,2,0.0953125,0.41642767,-1.0,0.0390625,,
93,1,0,-0.6,-1.0,-1.0,0.0,,
94,1,2,0.759375,0.39475688,-1.0,0.171875,,
95,1,0,3.0741128861904143,0.43939617,-1.0,0.07421875,,
